trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
division	12/2	6.0	9	spanish_word	informative	informative	spanish_word	3	1.8	2.9	2.2	5.8	0.5	4.2
subtraction	28-21	7.0	8	spanish_word	informative	noninformative	spanish_word	1	2.7	6.2	1.2	5.1	0.5	5.6
multiplication	13*2	26.0	28	spanish_word	informative	informative	spanish_word	2	2.9	3.8	1.8	4.1	0.5	4.0
addition	3+5	8.0	8	numeric	informative	informative	numeric	0	1.8	3.4	1.8	4.6	0.5	3.5
subtraction	29-3	26.0	22	spanish_word	informative	informative	spanish_word	-4	1.7	5.0	1.4	3.4	0.5	4.4
subtraction	26-20	6.0	9	english_word	informative	informative	english_word	3	1.8	4.0	1.8	8.0	0.5	5.7
addition	4+30	34.0	35	english_word	informative	noninformative	english_word	1	2.2	2.9	1.5	5.4	0.5	5.9
multiplication	3*7	21.0	31	english_word	informative	informative	english_word	10	2.8	4.1	1.7	4.9	0.5	4.6
subtraction	25-19	6.0	7	numeric	informative	informative	numeric	1	2.8	3.0	1.6	3.9	0.5	3.1
multiplication	15*3	45.0	37	spanish_word	informative	informative	spanish_word	-8	1.4	3.7	1.5	4.7	0.5	6.3
multiplication	17*8	136.0	137	english_word	informative	informative	english_word	1	1.4	3.6	2.4	4.1	0.5	3.6
subtraction	15-9	6.0	4	english_word	noninformative	noninformative	english_word	-2	1.1	5.6	2.2	5.3	0.5	3.6
division	27/21	1.3	-7	english_word	noninformative	informative	english_word	-8	2.0	4.5	1.2	5.8	0.5	3.2
division	20/16	1.2	1	spanish_word	informative	informative	spanish_word	0	2.5	6.2	1.1	3.7	0.5	4.1
addition	18+1	19.0	29	spanish_word	noninformative	noninformative	spanish_word	10	2.3	5.8	2.9	4.0	0.5	5.8
multiplication	17*5	85.0	87	numeric	informative	noninformative	numeric	2	1.1	5.0	2.2	4.2	0.5	7.9
addition	11+16	27.0	29	numeric	informative	informative	numeric	2	1.5	4.8	2.5	4.2	0.5	4.1
division	29/20	1.4	-7	numeric	noninformative	noninformative	numeric	-8	2.4	4.7	1.1	4.4	0.5	4.9
subtraction	19-15	4.0	4	numeric	informative	informative	numeric	0	2.2	3.2	1.3	5.7	0.5	4.7
addition	15+2	17.0	20	english_word	informative	informative	english_word	3	1.8	2.8	2.6	3.9	0.5	3.6
addition	7+25	32.0	30	english_word	informative	informative	english_word	-2	2.6	4.5	2.1	4.6	0.5	4.1
division	19/2	9.5	10	numeric	informative	informative	numeric	1	2.6	4.3	1.4	6.5	0.5	4.5
division	20/8	2.5	-6	spanish_word	informative	informative	spanish_word	-8	2.1	3.7	2.5	5.8	0.5	4.1
multiplication	3*6	18.0	27	numeric	informative	noninformative	numeric	9	2.9	3.6	2.7	3.3	0.5	5.1
