onset	duration	trial_type	run_type	comparison_onset	comparison_duration	feedback_onset	feedback_duration	feedback_type	first_term	operation	second_term	comparison	solution	rounded_difference	response	response_time	accuracy	stim_file_first_term	stim_file_operator	stim_file_second_term	stim_file_comparison	stim_file_feedback	equation_representation	comparison_representation
6.09	2.90	addition	Evaluation	16.40	1.31	22.12	0.50	informative	30	add	4	35	34.00	1	n/a	n/a	no_response	numerals\english\30_e.png	numerals\english\add_e.png	numerals\english\04_e.png	numerals\english\35_e.png	feedback\negative.png	english_word	english_word
26.41	2.71	subtraction	Evaluation	33.42	1.01	40.13	0.50	informative	28	subtract	16	9	12.00	-3	n/a	n/a	no_response	numerals\english\28_e.png	numerals\english\subtract_e.png	numerals\english\16_e.png	numerals\english\09_e.png	feedback\negative.png	english_word	english_word
47.60	2.21	addition	Evaluation	53.71	2.60	61.32	0.50	informative	7	add	6	8	13.00	-5	n/a	n/a	no_response	numerals\english\07_e.png	numerals\english\add_e.png	numerals\english\06_e.png	numerals\english\08_e.png	feedback\negative.png	english_word	english_word
64.68	2.80	division	Evaluation	72.48	2.31	79.20	0.50	informative	21	divide	15	5	1.40	4	n/a	n/a	no_response	numerals\21_n.png	numerals\divide_n.png	numerals\15_n.png	numerals\05_n.png	feedback\negative.png	numeric	numeric
83.24	1.60	subtraction	Evaluation	89.25	1.70	97.76	0.50	informative	7	subtract	5	-8	2.00	-10	n/a	n/a	no_response	numerals\07_n.png	numerals\subtract_n.png	numerals\05_n.png	numerals\-8_n.png	feedback\negative.png	numeric	numeric
105.71	1.30	division	Evaluation	111.91	1.70	117.32	0.50	informative	28	divide	10	-1	2.80	-4	n/a	n/a	no_response	numerals\28_n.png	numerals\divide_n.png	numerals\10_n.png	numerals\-1_n.png	feedback\negative.png	numeric	numeric
122.47	2.71	division	Evaluation	130.38	2.01	136.20	0.50	informative	22	divide	1	24	22.00	2	n/a	n/a	no_response	numerals\22_n.png	numerals\divide_n.png	numerals\01_n.png	numerals\24_n.png	feedback\negative.png	numeric	numeric
140.78	1.90	multiplication	Evaluation	147.39	2.10	155.00	0.50	informative	10	multiply	4	37	40.00	-3	n/a	n/a	no_response	numerals\english\10_e.png	numerals\english\multiply_e.png	numerals\english\04_e.png	numerals\english\37_e.png	feedback\negative.png	english_word	english_word
159.74	2.01	multiplication	Evaluation	166.25	3.01	173.66	0.50	informative	24	multiply	1	22	24.00	-2	n/a	n/a	no_response	numerals\24_n.png	numerals\multiply_n.png	numerals\01_n.png	numerals\22_n.png	feedback\negative.png	numeric	numeric
178.74	1.90	addition	Evaluation	187.05	2.90	196.56	0.50	noninformative	8	add	12	23	20.00	3	n/a	n/a	no_response	numerals\english\08_e.png	numerals\english\add_e.png	numerals\english\12_e.png	numerals\english\23_e.png	feedback\noninformative.png	english_word	english_word
199.50	1.70	addition	Evaluation	205.91	2.60	212.26	0.50	noninformative	7	add	13	22	20.00	2	n/a	n/a	no_response	numerals\07_n.png	numerals\add_n.png	numerals\13_n.png	numerals\22_n.png	feedback\noninformative.png	numeric	numeric
217.30	1.51	division	Evaluation	225.61	1.40	231.14	0.51	informative	10	divide	3	3	3.30	0	n/a	n/a	no_response	numerals\10_n.png	numerals\divide_n.png	numerals\03_n.png	numerals\03_n.png	feedback\negative.png	numeric	numeric
235.53	2.21	multiplication	Evaluation	242.24	1.31	247.96	0.51	informative	13	multiply	7	92	91.00	1	n/a	n/a	no_response	numerals\english\13_e.png	numerals\english\multiply_e.png	numerals\english\07_e.png	numerals\english\92_e.png	feedback\negative.png	english_word	english_word
254.33	1.61	multiplication	Evaluation	260.13	1.10	264.35	0.50	informative	5	multiply	8	39	40.00	-1	n/a	n/a	no_response	numerals\english\05_e.png	numerals\english\multiply_e.png	numerals\english\08_e.png	numerals\english\39_e.png	feedback\negative.png	english_word	english_word
270.90	1.10	subtraction	Evaluation	276.00	1.51	281.91	0.51	informative	27	subtract	3	19	24.00	-5	n/a	n/a	no_response	numerals\27_n.png	numerals\subtract_n.png	numerals\03_n.png	numerals\19_n.png	feedback\negative.png	numeric	numeric
286.17	2.40	subtraction	Evaluation	292.88	1.70	300.90	0.50	noninformative	22	subtract	9	6	13.00	-7	n/a	n/a	no_response	numerals\english\22_e.png	numerals\english\subtract_e.png	numerals\english\09_e.png	numerals\english\06_e.png	feedback\noninformative.png	english_word	english_word
304.75	1.40	division	Evaluation	309.95	2.90	315.38	0.50	informative	29	divide	7	5	4.10	1	n/a	n/a	no_response	numerals\29_n.png	numerals\divide_n.png	numerals\07_n.png	numerals\05_n.png	feedback\negative.png	numeric	numeric
319.36	1.40	addition	Evaluation	323.56	1.70	330.68	0.51	informative	26	add	8	39	34.00	5	n/a	n/a	no_response	numerals\english\26_e.png	numerals\english\add_e.png	numerals\english\08_e.png	numerals\english\39_e.png	feedback\negative.png	english_word	english_word
333.59	2.50	division	Evaluation	340.20	2.00	346.61	0.51	informative	29	divide	23	3	1.30	2	n/a	n/a	no_response	numerals\english\29_e.png	numerals\english\divide_e.png	numerals\english\23_e.png	numerals\english\03_e.png	feedback\negative.png	english_word	english_word
351.51	1.30	subtraction	Evaluation	357.41	1.40	365.52	0.51	informative	19	subtract	28	-18	-9.00	-9	n/a	n/a	no_response	numerals\english\19_e.png	numerals\english\subtract_e.png	numerals\english\28_e.png	numerals\english\-18_e.png	feedback\negative.png	english_word	english_word
371.47	1.60	addition	Evaluation	376.38	2.81	384.00	0.51	informative	7	add	11	21	18.00	3	n/a	n/a	no_response	numerals\07_n.png	numerals\add_n.png	numerals\11_n.png	numerals\21_n.png	feedback\negative.png	numeric	numeric
388.15	2.90	multiplication	Evaluation	395.66	1.40	400.97	0.51	noninformative	10	multiply	6	61	60.00	1	n/a	n/a	no_response	numerals\english\10_e.png	numerals\english\multiply_e.png	numerals\english\06_e.png	numerals\english\61_e.png	feedback\noninformative.png	english_word	english_word
405.22	3.00	multiplication	Evaluation	411.73	2.70	421.76	0.50	informative	4	multiply	4	16	16.00	0	n/a	n/a	no_response	numerals\04_n.png	numerals\multiply_n.png	numerals\04_n.png	numerals\16_n.png	feedback\negative.png	numeric	numeric
425.60	3.00	subtraction	Evaluation	432.31	1.10	437.43	0.50	informative	22	subtract	6	16	16.00	0	n/a	n/a	no_response	numerals\22_n.png	numerals\subtract_n.png	numerals\06_n.png	numerals\16_n.png	feedback\negative.png	numeric	numeric
