trial_type	equation	solution	comparison	equation_representation	feedback_1	feedback_2	comparison_representation	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
subtraction	13-20	-7.0	-9	english_word	informative	informative	english_word	-2	2.6	4.8	1.7	4.2	0.5	3.8
multiplication	1*6	6.0	9	numeric	noninformative	informative	numeric	3	2.0	3.9	1.3	7.1	0.5	3.8
division	28/4	7.0	-3	english_word	informative	informative	english_word	-10	2.7	3.5	2.3	6.1	0.5	5.4
division	10/5	2.0	0	numeric	informative	noninformative	numeric	-2	2.2	2.9	2.1	4.3	0.5	5.1
subtraction	10-1	9.0	19	numeric	noninformative	informative	numeric	10	1.1	5.6	2.2	3.6	0.5	2.1
addition	27+17	44.0	49	numeric	informative	informative	numeric	5	2.4	7.8	1.8	3.8	0.5	4.3
subtraction	6-11	-5.0	-6	numeric	informative	informative	numeric	-1	2.9	6.4	1.0	5.7	0.5	3.7
multiplication	5*6	30.0	30	english_word	informative	informative	english_word	0	1.3	3.2	1.4	4.6	0.5	7.6
addition	3+28	31.0	32	english_word	informative	informative	english_word	1	1.8	5.5	1.1	5.0	0.5	4.3
multiplication	18*8	144.0	141	english_word	informative	informative	english_word	-3	2.2	2.7	1.2	5.8	0.5	4.0
division	20/7	2.9	5	numeric	informative	noninformative	numeric	2	1.8	3.5	1.6	5.9	0.5	5.1
subtraction	7-2	5.0	5	numeric	informative	informative	numeric	0	1.2	6.7	1.5	5.4	0.5	4.5
addition	15+9	24.0	24	english_word	noninformative	informative	english_word	0	1.5	4.0	1.6	4.2	0.5	4.8
division	29/4	7.2	8	numeric	informative	noninformative	numeric	1	1.1	4.4	2.3	3.4	0.5	4.7
division	30/18	1.7	0	english_word	informative	informative	english_word	-2	1.4	3.2	1.9	3.0	0.5	3.7
division	26/10	2.6	1	numeric	informative	informative	numeric	-2	1.1	5.8	2.7	6.6	0.5	4.1
multiplication	1*3	3.0	1	english_word	informative	informative	english_word	-2	1.5	3.1	2.5	5.8	0.5	4.6
subtraction	23-8	15.0	13	english_word	informative	noninformative	english_word	-2	2.0	3.1	1.6	6.1	0.5	7.4
addition	22+23	45.0	53	numeric	noninformative	informative	numeric	8	2.4	5.4	1.9	6.4	0.5	4.0
multiplication	1*2	2.0	-5	english_word	informative	informative	english_word	-7	1.6	4.1	2.2	3.8	0.5	7.6
addition	9+19	28.0	37	numeric	informative	noninformative	numeric	9	2.6	3.2	2.3	4.7	0.5	3.6
subtraction	27-25	2.0	5	english_word	informative	informative	english_word	3	2.3	4.0	2.2	3.8	0.5	5.6
multiplication	20*1	20.0	26	numeric	informative	noninformative	numeric	6	1.3	5.9	1.2	4.2	0.5	3.6
addition	1+14	15.0	6	english_word	informative	noninformative	english_word	-9	1.2	2.7	1.7	5.0	0.5	4.8
