onset	duration	trial_type	run_type	comparison_onset	comparison_duration	feedback_onset	feedback_duration	feedback_type	first_term	operation	second_term	comparison	solution	rounded_difference	response	response_time	accuracy	stim_file_first_term	stim_file_operator	stim_file_second_term	stim_file_comparison	stim_file_feedback	equation_representation	comparison_representation
6.11	1.81	subtraction	Evaluation	12.82	2.81	21.53	0.50	noninformative	4	subtract	27	-22	-23.00	1	n/a	n/a	no_response	numerals\spanish\04_s.png	numerals\spanish\subtract_s.png	numerals\spanish\27_s.png	numerals\spanish\-22_s.png	feedback\noninformative.png	spanish_word	spanish_word
25.87	2.40	subtraction	Evaluation	31.88	2.81	38.72	0.50	informative	24	subtract	24	1	0.00	1	n/a	n/a	no_response	numerals\24_n.png	numerals\subtract_n.png	numerals\24_n.png	numerals\01_n.png	feedback\negative.png	numeric	numeric
44.28	1.00	addition	Evaluation	48.08	1.20	53.10	0.51	informative	18	add	3	20	21.00	-1	n/a	n/a	no_response	numerals\english\18_e.png	numerals\english\add_e.png	numerals\english\03_e.png	numerals\english\20_e.png	feedback\negative.png	english_word	english_word
57.38	1.60	division	Evaluation	62.48	1.10	69.09	0.51	informative	22	divide	10	-3	2.20	-5	n/a	n/a	no_response	numerals\english\22_e.png	numerals\english\divide_e.png	numerals\english\10_e.png	numerals\english\-3_e.png	feedback\negative.png	english_word	english_word
72.57	1.30	addition	Evaluation	79.28	1.31	84.29	0.51	informative	19	add	6	29	25.00	4	n/a	n/a	no_response	numerals\spanish\19_s.png	numerals\spanish\add_s.png	numerals\spanish\06_s.png	numerals\spanish\29_s.png	feedback\negative.png	spanish_word	spanish_word
90.35	1.20	multiplication	Evaluation	97.15	2.81	104.46	0.51	noninformative	2	multiply	7	18	14.00	4	n/a	n/a	no_response	numerals\english\02_e.png	numerals\english\multiply_e.png	numerals\english\07_e.png	numerals\english\18_e.png	feedback\noninformative.png	english_word	english_word
110.25	1.40	addition	Evaluation	114.96	1.20	121.39	0.50	informative	28	add	30	62	58.00	4	n/a	n/a	no_response	numerals\spanish\28_s.png	numerals\spanish\add_s.png	numerals\spanish\30_s.png	numerals\spanish\62_s.png	feedback\negative.png	spanish_word	spanish_word
126.56	1.70	division	Evaluation	130.76	1.81	138.08	0.51	informative	16	divide	11	3	1.50	2	n/a	n/a	no_response	numerals\spanish\16_s.png	numerals\spanish\divide_s.png	numerals\spanish\11_s.png	numerals\spanish\03_s.png	feedback\negative.png	spanish_word	spanish_word
144.06	1.80	addition	Evaluation	151.56	2.90	157.67	0.51	informative	17	add	27	40	44.00	-4	n/a	n/a	no_response	numerals\english\17_e.png	numerals\english\add_e.png	numerals\english\27_e.png	numerals\english\40_e.png	feedback\negative.png	english_word	english_word
163.31	2.10	division	Evaluation	170.72	2.10	178.63	0.51	noninformative	28	divide	19	1	1.50	0	n/a	n/a	no_response	numerals\28_n.png	numerals\divide_n.png	numerals\19_n.png	numerals\01_n.png	feedback\noninformative.png	numeric	numeric
182.99	1.80	subtraction	Evaluation	190.40	2.40	197.33	0.51	informative	14	subtract	14	1	0.00	1	n/a	n/a	no_response	numerals\english\14_e.png	numerals\english\subtract_e.png	numerals\english\14_e.png	numerals\english\01_e.png	feedback\negative.png	english_word	english_word
202.67	2.40	multiplication	Evaluation	209.68	1.60	214.19	0.51	informative	12	multiply	6	71	72.00	-1	n/a	n/a	no_response	numerals\12_n.png	numerals\multiply_n.png	numerals\06_n.png	numerals\71_n.png	feedback\negative.png	numeric	numeric
220.24	1.41	addition	Evaluation	225.95	2.40	231.36	0.51	informative	6	add	3	15	9.00	6	n/a	n/a	no_response	numerals\english\06_e.png	numerals\english\add_e.png	numerals\english\03_e.png	numerals\english\15_e.png	feedback\negative.png	english_word	english_word
235.49	2.80	division	Evaluation	243.40	2.70	250.51	0.51	informative	30	divide	7	14	4.30	10	n/a	n/a	no_response	numerals\30_n.png	numerals\divide_n.png	numerals\07_n.png	numerals\14_n.png	feedback\negative.png	numeric	numeric
256.64	1.10	multiplication	Evaluation	261.75	1.01	266.96	0.50	informative	17	multiply	4	65	68.00	-3	n/a	n/a	no_response	numerals\17_n.png	numerals\multiply_n.png	numerals\04_n.png	numerals\65_n.png	feedback\negative.png	numeric	numeric
271.49	2.30	division	Evaluation	279.20	2.50	286.21	0.51	informative	28	divide	9	5	3.10	2	n/a	n/a	no_response	numerals\28_n.png	numerals\divide_n.png	numerals\09_n.png	numerals\05_n.png	feedback\negative.png	numeric	numeric
290.49	1.80	division	Evaluation	296.89	3.01	305.01	0.50	informative	25	divide	13	5	1.90	3	n/a	n/a	no_response	numerals\english\25_e.png	numerals\english\divide_e.png	numerals\english\13_e.png	numerals\english\05_e.png	feedback\negative.png	english_word	english_word
312.47	2.10	multiplication	Evaluation	317.28	2.51	324.30	0.51	informative	7	multiply	3	22	21.00	1	n/a	n/a	no_response	numerals\english\07_e.png	numerals\english\multiply_e.png	numerals\english\03_e.png	numerals\english\22_e.png	feedback\negative.png	english_word	english_word
328.30	1.30	multiplication	Evaluation	333.61	1.60	341.23	0.51	informative	15	multiply	9	133	135.00	-2	n/a	n/a	no_response	numerals\spanish\15_s.png	numerals\spanish\multiply_s.png	numerals\spanish\09_s.png	numerals\spanish\133_s.png	feedback\negative.png	spanish_word	spanish_word
346.96	1.40	multiplication	Evaluation	354.27	2.60	360.38	0.51	informative	14	multiply	4	61	56.00	5	n/a	n/a	no_response	numerals\14_n.png	numerals\multiply_n.png	numerals\04_n.png	numerals\61_n.png	feedback\negative.png	numeric	numeric
366.16	2.61	addition	Evaluation	372.27	1.20	378.18	0.50	informative	22	add	13	44	35.00	9	n/a	n/a	no_response	numerals\spanish\22_s.png	numerals\spanish\add_s.png	numerals\spanish\13_s.png	numerals\spanish\44_s.png	feedback\negative.png	spanish_word	spanish_word
384.59	2.90	subtraction	Evaluation	393.29	1.90	398.70	0.51	noninformative	19	subtract	29	-14	-10.00	-4	n/a	n/a	no_response	numerals\spanish\19_s.png	numerals\spanish\subtract_s.png	numerals\spanish\29_s.png	numerals\spanish\-14_s.png	feedback\noninformative.png	spanish_word	spanish_word
403.87	1.61	subtraction	Evaluation	409.17	2.81	417.21	0.50	informative	13	subtract	1	9	12.00	-3	n/a	n/a	no_response	numerals\spanish\13_s.png	numerals\spanish\subtract_s.png	numerals\spanish\01_s.png	numerals\spanish\09_s.png	feedback\negative.png	spanish_word	spanish_word
421.24	2.40	subtraction	Evaluation	428.85	1.60	433.47	0.50	informative	24	subtract	28	-8	-4.00	-4	n/a	n/a	no_response	numerals\24_n.png	numerals\subtract_n.png	numerals\28_n.png	numerals\-8_n.png	feedback\negative.png	numeric	numeric
